time,open,high,low,close
1897-08-24,52.53,52.53,52.53,52.53
1897-08-25,52.13,52.13,52.13,52.13
1897-08-26,52.56,52.56,52.56,52.56
1897-08-27,52.92,52.92,52.92,52.92
1897-08-30,53.23,53.23,53.23,53.23
1897-08-31,54.81,54.81,54.81,54.81
1897-09-01,55.44,55.44,55.44,55.44
1897-09-02,55.77,55.77,55.77,55.77
1897-09-03,55.64,55.64,55.64,55.64
1897-09-07,55.75,55.75,55.75,55.75
1897-09-08,55.6,55.6,55.6,55.6
1897-09-09,55.81,55.81,55.81,55.81
1897-09-10,55.82,55.82,55.82,55.82
1897-09-13,54.61,54.61,54.61,54.61
1897-09-14,55.35,55.35,55.35,55.35
1897-09-15,55.62,55.62,55.62,55.62
1897-09-16,55.27,55.27,55.27,55.27
1897-09-17,55.46,55.46,55.46,55.46
1897-09-20,54.66,54.66,54.66,54.66
1897-09-21,52.53,52.53,52.53,52.53
1897-09-22,53.45,53.45,53.45,53.45
1897-09-23,53.6,53.6,53.6,53.6
1897-09-24,52.48,52.48,52.48,52.48
1897-09-27,52.93,52.93,52.93,52.93
1897-09-28,52.31,52.31,52.31,52.31
1897-09-29,51.9,51.9,51.9,51.9
1897-09-30,50.98,50.98,50.98,50.98
1897-10-01,51.54,51.54,51.54,51.54
1897-10-04,52.66,52.66,52.66,52.66
1897-10-05,52.26,52.26,52.26,52.26
1897-10-06,51.79,51.79,51.79,51.79
1897-10-07,51.37,51.37,51.37,51.37
1897-10-08,51.64,51.64,51.64,51.64
1897-10-11,50.64,50.64,50.64,50.64
1897-10-12,48.64,48.64,48.64,48.64
1897-10-13,49.35,49.35,49.35,49.35
1897-10-14,48.79,48.79,48.79,48.79
1897-10-15,48.42,48.42,48.42,48.42
1897-10-18,49.2,49.2,49.2,49.2
1897-10-19,49.84,49.84,49.84,49.84
1897-10-20,50.39,50.39,50.39,50.39
1897-10-21,49.82,49.82,49.82,49.82
1897-10-22,50,50,50,50
1897-10-25,48.76,48.76,48.76,48.76
1897-10-26,49.1,49.1,49.1,49.1
1897-10-27,48.6,48.6,48.6,48.6
1897-10-28,48.46,48.46,48.46,48.46
1897-10-29,48.81,48.81,48.81,48.81
1897-11-01,49.11,49.11,49.11,49.11
1897-11-03,47.67,47.67,47.67,47.67
1897-11-04,47.31,47.31,47.31,47.31
1897-11-05,45.73,45.73,45.73,45.73
1897-11-08,45.65,45.65,45.65,45.65
1897-11-09,46.53,46.53,46.53,46.53
1897-11-10,47.12,47.12,47.12,47.12
1897-11-11,46.19,46.19,46.19,46.19
1897-11-12,46.44,46.44,46.44,46.44
1897-11-15,46.47,46.47,46.47,46.47
1897-11-16,47.05,47.05,47.05,47.05
1897-11-17,46.83,46.83,46.83,46.83
1897-11-18,46.99,46.99,46.99,46.99
1897-11-19,47.27,47.27,47.27,47.27
1897-11-22,46.89,46.89,46.89,46.89
1897-11-23,46.63,46.63,46.63,46.63
1897-11-24,46.21,46.21,46.21,46.21
1897-11-26,46.7,46.7,46.7,46.7
1897-11-29,46.8,46.8,46.8,46.8
1897-11-30,47.46,47.46,47.46,47.46
1897-12-01,48.41,48.41,48.41,48.41
1897-12-02,48.31,48.31,48.31,48.31
1897-12-03,48.31,48.31,48.31,48.31
1897-12-06,48.79,48.79,48.79,48.79
1897-12-07,49.46,49.46,49.46,49.46
1897-12-08,49.39,49.39,49.39,49.39
1897-12-09,49.6,49.6,49.6,49.6
1897-12-10,49.18,49.18,49.18,49.18
1897-12-13,49.81,49.81,49.81,49.81
1897-12-14,49.67,49.67,49.67,49.67
1897-12-15,49.02,49.02,49.02,49.02
1897-12-16,48.54,48.54,48.54,48.54
1897-12-17,48.14,48.14,48.14,48.14
1897-12-20,48.45,48.45,48.45,48.45
1897-12-21,48.25,48.25,48.25,48.25
1897-12-22,48.54,48.54,48.54,48.54
1897-12-23,48.84,48.84,48.84,48.84
1897-12-24,49.39,49.39,49.39,49.39
1897-12-27,49.29,49.29,49.29,49.29
1897-12-28,49.34,49.34,49.34,49.34
1897-12-29,49.33,49.33,49.33,49.33
1897-12-30,49.21,49.21,49.21,49.21
1897-12-31,49.41,49.41,49.41,49.41
1898-01-03,49.31,49.31,49.31,49.31
1898-01-04,48.91,48.91,48.91,48.91
1898-01-05,49.53,49.53,49.53,49.53
1898-01-06,50.18,50.18,50.18,50.18
1898-01-07,50.67,50.67,50.67,50.67
1898-01-10,50.53,50.53,50.53,50.53
1898-01-11,50.33,50.33,50.33,50.33
1898-01-12,50.19,50.19,50.19,50.19
1898-01-13,49.85,49.85,49.85,49.85
1898-01-14,49.63,49.63,49.63,49.63
1898-01-17,49.36,49.36,49.36,49.36
1898-01-18,48.81,48.81,48.81,48.81
1898-01-19,49.28,49.28,49.28,49.28
1898-01-20,49.06,49.06,49.06,49.06
1898-01-21,48.92,48.92,48.92,48.92
1898-01-24,48,48,48,48
1898-01-25,48.66,48.66,48.66,48.66
1898-01-26,49.53,49.53,49.53,49.53
1898-01-27,49.78,49.78,49.78,49.78
1898-01-28,49.32,49.32,49.32,49.32
1898-01-31,50.01,50.01,50.01,50.01
1898-02-01,49.76,49.76,49.76,49.76
1898-02-02,49.54,49.54,49.54,49.54
1898-02-03,49.54,49.54,49.54,49.54
1898-02-04,49.82,49.82,49.82,49.82
1898-02-07,50.11,50.11,50.11,50.11
1898-02-08,49.62,49.62,49.62,49.62
1898-02-09,49.86,49.86,49.86,49.86
1898-02-10,50.16,50.16,50.16,50.16
1898-02-11,50.14,50.14,50.14,50.14
1898-02-14,49.49,49.49,49.49,49.49
1898-02-15,50.04,50.04,50.04,50.04
1898-02-16,48.97,48.97,48.97,48.97
1898-02-17,49.2,49.2,49.2,49.2
1898-02-18,48.59,48.59,48.59,48.59
1898-02-21,47.11,47.11,47.11,47.11
1898-02-23,46.16,46.16,46.16,46.16
1898-02-24,44.67,44.67,44.67,44.67
1898-02-25,45.31,45.31,45.31,45.31
1898-02-28,46.17,46.17,46.17,46.17
1898-03-01,47.47,47.47,47.47,47.47
1898-03-02,46.58,46.58,46.58,46.58
1898-03-03,46.55,46.55,46.55,46.55
1898-03-04,46.16,46.16,46.16,46.16
1898-03-07,44.86,44.86,44.86,44.86
1898-03-08,45.3,45.3,45.3,45.3
1898-03-09,45.51,45.51,45.51,45.51
1898-03-10,45.38,45.38,45.38,45.38
1898-03-11,44.44,44.44,44.44,44.44
1898-03-14,44.73,44.73,44.73,44.73
1898-03-15,44.41,44.41,44.41,44.41
1898-03-16,45.53,45.53,45.53,45.53
1898-03-17,44.55,44.55,44.55,44.55
1898-03-18,44.86,44.86,44.86,44.86
1898-03-21,44.5,44.5,44.5,44.5
1898-03-22,43.45,43.45,43.45,43.45
1898-03-23,43.22,43.22,43.22,43.22
1898-03-24,42.73,42.73,42.73,42.73
1898-03-25,42,42,42,42
1898-03-28,45.34,45.34,45.34,45.34
1898-03-29,44.49,44.49,44.49,44.49
1898-03-30,46.15,46.15,46.15,46.15
1898-03-31,45.42,45.42,45.42,45.42
1898-04-01,44.14,44.14,44.14,44.14
1898-04-04,45.58,45.58,45.58,45.58
1898-04-05,45.06,45.06,45.06,45.06
1898-04-06,46.02,46.02,46.02,46.02
1898-04-07,45.98,45.98,45.98,45.98
1898-04-08,45.48,45.48,45.48,45.48
1898-04-11,45.95,45.95,45.95,45.95
1898-04-12,46.32,46.32,46.32,46.32
1898-04-13,45.19,45.19,45.19,45.19
1898-04-14,46.06,46.06,46.06,46.06
1898-04-15,45.37,45.37,45.37,45.37
1898-04-18,44.92,44.92,44.92,44.92
1898-04-19,44.48,44.48,44.48,44.48
1898-04-20,44.56,44.56,44.56,44.56
1898-04-21,43.27,43.27,43.27,43.27
1898-04-22,43.87,43.87,43.87,43.87
1898-04-25,44.02,44.02,44.02,44.02
1898-04-26,44.36,44.36,44.36,44.36
1898-04-27,44.4,44.4,44.4,44.4
1898-04-28,45.01,45.01,45.01,45.01
1898-04-29,45.75,45.75,45.75,45.75
1898-05-02,48.6,48.6,48.6,48.6
1898-05-03,48.3,48.3,48.3,48.3
1898-05-05,49.43,49.43,49.43,49.43
1898-05-06,49.16,49.16,49.16,49.16
1898-05-09,51.05,51.05,51.05,51.05
1898-05-10,50.46,50.46,50.46,50.46
1898-05-11,51.63,51.63,51.63,51.63
1898-05-12,51.09,51.09,51.09,51.09
1898-05-13,50.82,50.82,50.82,50.82
1898-05-16,50.33,50.33,50.33,50.33
1898-05-17,51.26,51.26,51.26,51.26
1898-05-18,50.55,50.55,50.55,50.55
1898-05-19,51.04,51.04,51.04,51.04
1898-05-20,50.74,50.74,50.74,50.74
1898-05-23,51.73,51.73,51.73,51.73
1898-05-24,52.29,52.29,52.29,52.29
1898-05-25,51.87,51.87,51.87,51.87
1898-05-26,51.9,51.9,51.9,51.9
1898-05-27,52.08,52.08,52.08,52.08
1898-05-31,52.74,52.74,52.74,52.74
1898-06-01,52.87,52.87,52.87,52.87
1898-06-02,53.36,53.36,53.36,53.36
1898-06-03,52.77,52.77,52.77,52.77
1898-06-06,53.33,53.33,53.33,53.33
1898-06-07,53.3,53.3,53.3,53.3
1898-06-08,53.15,53.15,53.15,53.15
1898-06-09,53.12,53.12,53.12,53.12
1898-06-10,53.71,53.71,53.71,53.71
1898-06-13,52.61,52.61,52.61,52.61
1898-06-14,52.2,52.2,52.2,52.2
1898-06-15,50.87,50.87,50.87,50.87
1898-06-16,51.77,51.77,51.77,51.77
1898-06-17,52.13,52.13,52.13,52.13
1898-06-20,51.9,51.9,51.9,51.9
1898-06-21,51.73,51.73,51.73,51.73
1898-06-22,51.38,51.38,51.38,51.38
1898-06-23,51.74,51.74,51.74,51.74
1898-06-24,52.01,52.01,52.01,52.01
1898-06-27,52.66,52.66,52.66,52.66
1898-06-28,52.44,52.44,52.44,52.44
1898-06-29,52.79,52.79,52.79,52.79
1898-06-30,52.62,52.62,52.62,52.62
1898-07-01,53,53,53,53
1898-07-05,52.99,52.99,52.99,52.99
1898-07-06,52.78,52.78,52.78,52.78
1898-07-07,53.09,53.09,53.09,53.09
1898-07-08,53.25,53.25,53.25,53.25
1898-07-11,53.35,53.35,53.35,53.35
1898-07-12,53.16,53.16,53.16,53.16
1898-07-13,52.61,52.61,52.61,52.61
1898-07-14,53.15,53.15,53.15,53.15
1898-07-15,52.53,52.53,52.53,52.53
1898-07-18,52.27,52.27,52.27,52.27
1898-07-19,52.32,52.32,52.32,52.32
1898-07-20,52.64,52.64,52.64,52.64
1898-07-21,53.13,53.13,53.13,53.13
1898-07-22,53.01,53.01,53.01,53.01
1898-07-25,53.67,53.67,53.67,53.67
1898-07-26,54.17,54.17,54.17,54.17
1898-07-27,53.78,53.78,53.78,53.78
1898-07-28,53.85,53.85,53.85,53.85
1898-07-29,54.02,54.02,54.02,54.02
1898-08-01,54.6,54.6,54.6,54.6
1898-08-02,55.26,55.26,55.26,55.26
1898-08-03,55.46,55.46,55.46,55.46
1898-08-04,55.26,55.26,55.26,55.26
1898-08-05,55.85,55.85,55.85,55.85
1898-08-08,56.31,56.31,56.31,56.31
1898-08-09,56.3,56.3,56.3,56.3
1898-08-10,56.61,56.61,56.61,56.61
1898-08-11,56.55,56.55,56.55,56.55
1898-08-12,56.21,56.21,56.21,56.21
1898-08-15,57.5,57.5,57.5,57.5
1898-08-16,58.45,58.45,58.45,58.45
1898-08-17,58.89,58.89,58.89,58.89
1898-08-18,58.08,58.08,58.08,58.08
1898-08-19,59.09,59.09,59.09,59.09
1898-08-22,59.39,59.39,59.39,59.39
1898-08-23,59.63,59.63,59.63,59.63
1898-08-24,59.72,59.72,59.72,59.72
1898-08-25,60.52,60.52,60.52,60.52
1898-08-26,60.97,60.97,60.97,60.97
1898-08-29,59.57,59.57,59.57,59.57
1898-08-30,59.92,59.92,59.92,59.92
1898-08-31,60.35,60.35,60.35,60.35
1898-09-01,60.5,60.5,60.5,60.5
1898-09-02,60.38,60.38,60.38,60.38
1898-09-06,60.16,60.16,60.16,60.16
1898-09-07,58.92,58.92,58.92,58.92
1898-09-08,58.54,58.54,58.54,58.54
1898-09-09,57.77,57.77,57.77,57.77
1898-09-12,58.08,58.08,58.08,58.08
1898-09-13,57.55,57.55,57.55,57.55
1898-09-14,57.42,57.42,57.42,57.42
1898-09-15,58.38,58.38,58.38,58.38
1898-09-16,58.04,58.04,58.04,58.04
1898-09-19,57.61,57.61,57.61,57.61
1898-09-20,57.23,57.23,57.23,57.23
1898-09-21,58.33,58.33,58.33,58.33
1898-09-22,57.73,57.73,57.73,57.73
1898-09-23,57.63,57.63,57.63,57.63
1898-09-26,56.55,56.55,56.55,56.55
1898-09-27,55.22,55.22,55.22,55.22
1898-09-28,54.52,54.52,54.52,54.52
1898-09-29,54.88,54.88,54.88,54.88
1898-09-30,53.44,53.44,53.44,53.44
1898-10-03,53.62,53.62,53.62,53.62
1898-10-04,53.8,53.8,53.8,53.8
1898-10-05,53.76,53.76,53.76,53.76
1898-10-06,53.36,53.36,53.36,53.36
1898-10-07,53.08,53.08,53.08,53.08
